epid,aid
20090110,Neil Patrick Harris
20081213,Hugh Laurie
20081206,John Malkovich
20081122,Tim McGraw
20081115,Paul Rudd
20081101,Ben Affleck
20081025,Jon Hamm
20081018,Josh Brolin
20081004,Anne Hathaway
20080927,Anna Faris
20080920,James Franco
20080913,Michael Phelps
20080517,Steve Carell
20080510,Shia LaBeouf
20080412,Ashton Kutcher
20080405,Christopher Walken
20080315,Jonah Hill
20080308,Amy Adams
20080301,Ellen Page
20080223,Tina Fey
20071103,Brian Williams
20071013,Jon Bon Jovi
20071006,Seth Rogen
20070929,LeBron James
20070519,Zach Braff
20070512,Molly Shannon
20070421,Scarlett Johansson
20070414,Shia LaBeouf
20070324,Peyton Manning
20070317,Julia Louis-Dreyfus
20070224,Rainn Wilson
20070210,Forest Whitaker
20070203,Drew Barrymore
20070120,Jeremy Piven
20070113,Jake Gyllenhaal
20061216,Justin Timberlake
20061209,Annette Bening
20061202,Matthew Fox
20061118,Ludacris
20061111,Alec Baldwin
20061028,Hugh Laurie
20061021,John C. Reilly
20061007,Jaime Pressly
20060930,Dane Cook
20060520,Kevin Spacey
20060513,Julia Louis-Dreyfus
20060506,Tom Hanks
20060415,Lindsay Lohan
20060408,Antonio Banderas
20060311,Matt Dillon
20060304,Natalie Portman
20060204,Steve Martin
20060121,Peter Sarsgaard
20060114,Scarlett Johansson
20051217,Jack Black
20051210,Alec Baldwin
20051203,Dane Cook
20051119,Eva Longoria
20051112,Jason Lee
20051029,Lance Armstrong
20051022,Catherine Zeta-Jones
20051008,Jon Heder
20051001,Steve Carell
20050521,Lindsay Lohan
20050514,Will Ferrell
20050507,Johnny Knoxville
20050416,Tom Brady
20050409,Cameron Diaz
20050319,Ashton Kutcher
20050312,David Spade
20050219,Hilary Swank
20050212,Jason Bateman
20050205,Paris Hilton
20050122,Paul Giamatti
20050115,Topher Grace
20041218,Robert DeNiro
20041211,Colin Farrell
20041120,Luke Wilson
20041113,Liam Neeson
20041030,Kate Winslet
20041023,Jude Law
20041009,Queen Latifah
20041002,Ben Affleck
20040515,Mary-Kate Olsen
20040515,Ashley Olsen
20040508,Snoop Dogg
20040501,Lindsay Lohan
20040410,Janet Jackson
20040403,Donald Trump
20040313,Ben Affleck
20040306,Colin Firth
20040221,Christina Aguilera
20040214,Drew Barrymore
20040207,Megan Mullally
20040117,Jessica Simpson
20040117,Nick Lachey
20040110,Jennifer Aniston
20031213,Elijah Wood
20031206,Al Sharpton
20031115,Alec Baldwin
20031108,Andy Roddick
20031101,Kelly Ripa
20031018,Halle Berry
20031011,Justin Timberlake
20031004,Jack Black
20030517,Dan Aykroyd
20030510,Adrien Brody
20030503,Ashton Kutcher
20030412,Ray Romano
20030405,Bernie Mac
20030315,Salma Hayek
20030308,Queen Latifah
20030222,Christopher Walken
20030215,Jennifer Garner
20030208,Matthew McConaughey
20030118,Ray Liotta
20030111,Jeff Gordon
20021214,Al Gore
20021207,Robert DeNiro
20021116,Brittany Murphy
20021109,Nia Vardalos
20021102,Eric McCormack
20021019,Sen. John McCain
20021012,Sarah Michelle Gellar
20021005,Matt Damon
20020518,Winona Ryder
20020511,Kirsten Dunst
20020420,Alec Baldwin
20020413,The Rock
20020406,Cameron Diaz
20020316,Ian McKellen
20020309,Jon Stewart
20020302,Jonny Moseley
20020202,Britney Spears
20020119,Jack Black
20020112,Josh Hartnett
20011215,Ellen DeGeneres
20011208,Hugh Jackman
20011201,Derek Jeter
20011117,Billy Bob Thornton
20011110,Gwyneth Paltrow
20011103,John Goodman
20011013,Drew Barrymore
20011006,Seann William Scott
20010929,Reese Witherspoon
20010519,Christopher Walken
20010512,Lara Flynn Boyle
20010505,Pierce Brosnan
20010414,Renee Zellweger
20010407,Alec Baldwin
20010317,Julia Stiles
20010310,Conan O'Brien
20010224,Katie Holmes
20010217,Sean Hayes
20010210,Jennifer Lopez
20010120,Mena Suvari
20010113,Charlie Sheen
20001216,Lucy Liu
20001209,Val Kilmer
