impid,aid,name
3517,Jay Pharoah,"Jamie Foxx , Daddy Warbucks"
3518,Cecily Strong,Star Burton
3519,Taran Killam,Charles Manson
3503,Taran Killam,Mitch McConnell
3504,Woody Harrelson,James Taylor
2957,Vanessa Bayer,Miley Cyrus
3506,Beck Bennett,Elton John
3505,Aidy Bryant,Meghan Trainor
3512,Leslie Jones,Aretha Franklin
3514,Taran Killam,Barry Manilow
3515,Taran Killam,David Crosby
3423,Kate McKinnon,Lorde
3508,Kate McKinnon,Robyn
3510,Kyle Mooney,Macklemore
3511,Kyle Mooney,Stephen Stills
3230,Bobby Moynihan,Psy
3433,Jay Pharoah,2 Chainz
3507,Cecily Strong,Ariana Grande
3168,Kenan Thompson,B.B. King
3509,Kenan Thompson,Lionel Richie
3453,Taran Killam,Matthew McConaughey
3499,Kate McKinnon,Kaci Hickox
3412,Cecily Strong,Megyn Kelly
3274,Jay Pharoah,Katt Williams
3500,Kenan Thompson,"Marion ""Suge"" Knight"
3501,Beck Bennett,Kevin O'Leary
3502,Taran Killam,Mark Cuban
3308,Kate McKinnon,Barbara Corcoran
3309,Kenan Thompson,Daymond John
3496,Taran Killam,Ron Klain
3497,Jim Carrey,Matthew McConaughey
3498,Kenan Thompson,Dennis Haysbert
3305,Bobby Moynihan,Kim Jong-un
2743,Kristen Wiig,Kathie Lee Gifford
3346,Taran Killam,Christoph Waltz
3191,Jay Pharoah,Morgan Freeman
3485,Beck Bennett,Steve Kroft
3487,Sarah Silverman,Joan Rivers
3488,Adam Levine,Freddie Mercury
3491,Kate McKinnon,Lucille Ball
3492,Kyle Mooney,Steve Jobs
3490,Jay Pharoah,Richard Pryor
3489,Cecily Strong,Ava Gardner
3482,Chris Pratt,Roger Goodell
3263,Aidy Bryant,Candy Crowley
3290,Jay Pharoah,Shannon Sharpe
3220,Kenan Thompson,Ray Lewis
3483,Beck Bennett,Jim Nantz
3484,Taran Killam,Phil Simms
3481,Sasheer Zamata,Solange Knowles
2842,Andy Samberg,Nicolas Cage
3130,Taran Killam,Bruce Jenner
2856,Nasim Pedrad,Kim Kardashian
1856,Maya Rudolph,Oprah Winfrey
3015,Vanessa Bayer,Hillary Clinton
3473,Taran Killam,Adam Silver
3471,Bobby Moynihan,Donald Sterling
3304,Jay Pharoah,Dennis Rodman
3472,Kenan Thompson,Leon Jenkins
3474,Andrew Garfield,Justin Timberlake
3382,Aidy Bryant,Adele
3478,Taran Killam,Russell Crowe
3315,Kate McKinnon,Shakira
3476,Kyle Mooney,Skrillex
3477,Nasim Pedrad,Bruno Mars
3406,Noel Wells,Reba McEntire
3479,Taran Killam,Marc Webb
3469,Nasim Pedrad,Bobby Jindal
3468,Brooks Wheelan,Rand Paul
3464,Taran Killam,Tim Murphy
3462,Kate McKinnon,Mary Barra
3460,Bobby Moynihan,Joe Barton
3463,Mike O'Brien,Fred Upton
3461,Cecily Strong,Diana DeGette
3458,Brooks Wheelan,Harry Styles
3239,Jay Pharoah,Stephen A. Smith
3452,Taran Killam,"Adam Driver , Adam"
3454,Lena Dunham,Liza Minnelli
3457,Taran Killam,Harrison Ford
3456,Noel Wells,Lena Dunham
3455,Brooks Wheelan,Jared Leto
3445,Jim Parsons,Johnny Weir
3271,Vanessa Bayer,Sophia Grace Brownlee
3270,Nasim Pedrad,Rosie Grace McClelland
3446,Jay Pharoah,Barkhad Abdi
3269,Kenan Thompson,Tony Okungbowa
3450,Taran Killam,Henry Winkler
3449,Kate McKinnon,Angela Lansbury
3447,Bobby Moynihan,Jason Alexander (II)
3448,Jay Pharoah,Jaleel White
3451,Kenan Thompson,Steve McQueen
3442,Beck Bennett,Howie Long
3443,Bobby Moynihan,Jimmy Johnson
3238,Jay Pharoah,Michael Strahan
3444,Kenan Thompson,Ben Vereen
2740,Fred Armisen,David Paterson
3441,Taran Killam,Scott Hamilton
3440,Cecily Strong,Tara Lipinski
3023,Taran Killam,Brad Pitt
3426,Drake,Alex Rodriguez
3186,Taran Killam,Piers Morgan
3429,Vanessa Bayer,Sandi Graham
3428,Jay Pharoah,Dennis Graham
3430,Drake,Jay-Z
3431,Drake,Lil Wayne
3432,Beck Bennett,"Don Herbert , Mr. Wizard"
3435,Nasim Pedrad,Jenna Von Oÿ
2544,Kenan Thompson,Flavor Flav
3353,Kenan Thompson,Sway
3437,Drake,Katt Williams
3438,Noel Wells,Nancy Grace
3439,Vanessa Bayer,Jacqueline Bisset
3187,Nasim Pedrad,Arianna Huffington
3408,Jimmy Fallon,Jim Parsons
3409,Justin Timberlake,Jimmy Fallon
3141,Taran Killam,Ashton Kutcher
3340,John Milhiser,Jon Cryer
3410,Jay Pharoah,Ice-T
3411,Noel Wells,Alyson Hannigan
2160,Jimmy Fallon,Barry Gibb
2162,Justin Timberlake,Robin Gibb
3413,Kate McKinnon,Billie Jean King
3016,Vanessa Bayer,Kourtney Kardashian
3380,Kate McKinnon,Kris Jenner
3379,Bobby Moynihan,Rob Kardashian
3378,Cecily Strong,Khloé Kardashian
3381,Noel Wells,Kendall Jenner
3414,Jimmy Fallon,Alan Rickman
3415,Jimmy Fallon,Harry Styles
3416,Jimmy Fallon,Michael Bublé
3417,Jimmy Fallon,Pitbull
3422,John Milhiser,Billie Joe Armstrong
3424,Kyle Mooney,Axl Rose
3418,Bobby Moynihan,Andrea Bocelli
3421,Jay Pharoah,DMX
3420,Cecily Strong,Alanis Morissette
3425,Noel Wells,Zooey Deschanel
3419,Brooks Wheelan,Slash
3391,Kenan Thompson,Thamsanqa Jantjie
3392,John Goodman,Duane Chapman
3393,Caleb Followill,Willie Robertson
3394,Jared Followill,Phil Robertson
3395,Matthew Followill,Si Robertson
3396,Nathan Followill,Jase Robertson
3407,Taran Killam,Bret Michaels
3403,Kate McKinnon,Angela Raiola
3402,John Milhiser,Verne Troyer
3405,Kyle Mooney,Criss Angel
3397,Bobby Moynihan,Austin Russell
3398,Bobby Moynihan,Corey Harrison
2807,Bobby Moynihan,Guy Fieri
3399,Bobby Moynihan,Richard Harrison
3400,Bobby Moynihan,Rick Harrison
3404,Kenan Thompson,Kimbo Slice
3401,Brooks Wheelan,Kid Rock
2695,Fred Armisen,Lawrence Welk
3388,Beck Bennett,George Zimmer
3389,Kate McKinnon,Samantha Scheibe
3390,Vanessa Bayer,Jessica McClure
3377,Kate McKinnon,Lara Logan
3376,Bobby Moynihan,Rob Ford
3387,Taran Killam,Adam Duritz
3384,Kate McKinnon,Susan Boyle
2771,Bobby Moynihan,Nathan Lane
3051,Jay Pharoah,Lil Wayne
3383,Cecily Strong,Lana Del Rey
3386,Noel Wells,Britney Spears
3365,Kerry Washington,Michelle Obama
3366,Kerry Washington,Oprah Winfrey
3367,Beck Bennett,Matthew McConaughey
3373,Taran Killam,Jay Carney
3370,John Milhiser,Matthew McConaughey
3371,Kyle Mooney,Matthew McConaughey
3368,Bobby Moynihan,Matthew McConaughey
3372,Mike O'Brien,Matthew McConaughey
3369,Brooks Wheelan,Matthew McConaughey
3374,Taran Killam,Thomas Roberts
3358,Kate McKinnon,Kathleen Sebelius
3359,Edward Norton,Owen Wilson
3362,Kyle Mooney,Jason Schwartzman
3363,Mike O'Brien,Adrien Brody
3361,Jay Pharoah,Danny Glover
3360,Cecily Strong,Anjelica Huston
3364,Noel Wells,Gwyneth Paltrow
3354,Bruce Willis,Michael Kors
3355,Vanessa Bayer,Lady Gaga
3211,Kate McKinnon,Penelope Cruz
3356,Kenan Thompson,Barry Black
3357,Beck Bennett,Vin Diesel
3333,Taran Killam,Robin Thicke
3334,Miley Cyrus,Scarlett Johansson
3347,Vanessa Bayer,Mary-Louise Parker
3336,Beck Bennett,Philip Seymour Hoffman
3335,Aidy Bryant,Rebel Wilson
3337,Bobby Moynihan,Seth Rogen
3343,Nasim Pedrad,Aziz Ansari
3279,Nasim Pedrad,Kristin Chenoweth
3339,Jay Pharoah,Tracy Morgan
3344,Noel Wells,Emma Stone
3345,Noel Wells,Kristen Stewart
3348,Miley Cyrus,Michele Bachmann
3350,Miley Cyrus,Hillary Clinton
3351,Beck Bennett,Bill Clinton
3331,Jason Sudeikis,Dana Milbank
2612,Fred Armisen,Mahmoud Ahmadinejad
3235,Kate McKinnon,Ann Romney
3326,Bill Hader,Darrell Issa
3330,Taran Killam,Trey Gowdy
3327,Bobby Moynihan,Ariel Castro
3329,Nasim Pedrad,Jodi Arias
3324,Kate McKinnon,Martha Stewart
2805,Bill Hader,James Carville
3325,Jay Pharoah,Dikembe Mutombo
3317,Bill Hader,Pat Toomey
3318,Jason Sudeikis,Joe Manchin
2467,Kenan Thompson,Al Roker
3320,Vanessa Bayer,Margaret Thatcher
3319,Bobby Moynihan,Bill Grundy
3321,Jason Sudeikis,Brad Paisley
3322,Kate McKinnon,Marina Chapman
3323,Jason Sudeikis,John Tesh
3311,Bill Hader,Bob Ley
3312,Bill Hader,Adam Levine
3316,Taran Killam,Carson Daly
3313,Jay Pharoah,Usher
3314,Jason Sudeikis,Blake Shelton
3006,Kenan Thompson,Cee Lo Green
3310,Justin Timberlake,Elton John
2947,Fred Armisen,Eugene Levy
3301,Kevin Hart,Quvenzhané Wallis
3302,Fred Armisen,Pope Benedict XVI
2864,Jason Sudeikis,Wolf Blitzer
3303,Kenan Thompson,Peter Turkson
3306,Bill Hader,Mark Cuban
3307,Jason Sudeikis,Kevin O'Leary
3296,Christoph Waltz,Pope Benedict XVI
3297,Jay Pharoah,"Samuel L. Jackson , Judas Iscariot"
3300,Bill Hader,Ted Nugent
3293,Taran Killam,Steve Tasker
3294,Tim Robinson,Bill Cowher
3291,Jason Sudeikis,Dan Marino
3295,Taran Killam,Liam Hemsworth
2997,Jason Sudeikis,Billy Ray Cyrus
2597,Bill Hader,John Mayer
3287,Taran Killam,Pat Monahan
3285,Jason Sudeikis,Jason Mraz
3286,Kenan Thompson,Darius Rucker
3288,Adam Levine,Yaniv Schulman
3289,Taran Killam,Max Joseph
3281,Bobby Moynihan,Manti Te'o
3282,Jason Sudeikis,Lance Armstrong
3283,Bill Hader,Tommy Lee Jones
3001,Fred Armisen,Queen Elizabeth
3276,Martin Short,Larry David
3280,Taran Killam,Michael Keaton
3278,Kate McKinnon,Edie Falco
3277,Cecily Strong,Fran Drescher
2747,Jason Sudeikis,Philip Seymour Hoffman
3026,Kenan Thompson,Forest Whitaker
2833,Bill Hader,Lindsey Buckingham
2994,Bill Hader,John Boehner
3275,Jamie Foxx,Tyler Perry
3272,Cecily Strong,Paula Broadwell
3273,Cecily Strong,Jill Kelley
3267,Taran Killam,Josh Romney
3268,Taran Killam,Matt Romney
3199,Taran Killam,Tagg Romney
2836,Bobby Moynihan,Karl Rove
2996,Anne Hathaway,Katie Holmes
3265,Cecily Strong,Lydia Callis
3266,Jason Sudeikis,Donald Trump
3253,Kate McKinnon,Martha Raddatz
2627,Jason Sudeikis,Dane Cook
3254,Fred Armisen,Gael García Bernal
3257,Taran Killam,Adrien Brody
3255,Jay Pharoah,Andre 3000
3256,Jason Sudeikis,Jerry Sandusky
3258,Christina Applegate,Uma Thurman
3261,Fred Armisen,Harrison Ford
3259,Bill Hader,Arnold Schwarzenegger
3262,Taran Killam,Liam Neeson
2963,Jay Pharoah,Denzel Washington
2931,Jason Sudeikis,Mel Gibson
1824,Chris Parnell,Jim Lehrer
2689,Fred Armisen,Penny Marshall
3244,Vanessa Bayer,Diane Keaton
3245,Vanessa Bayer,Molly Ringwald
3243,Taran Killam,Roger Moore
3242,Nasim Pedrad,Lea Michele
3248,Kate McKinnon,S.E. Cupp
3247,Jason Sudeikis,Chris Matthews
3249,Daniel Craig,Larry Caputo
3251,Vanessa Bayer,Victoria Caputo
3250,Kate McKinnon,Theresa Caputo
3237,Bill Hader,Robert Pattinson
3047,Nasim Pedrad,Kelly Ripa
3126,Bill Hader,Rick Perry
3229,Bill Hader,Noh Hong-cheol
3231,Taran Killam,Yoo Jae-Suk
3232,Bobby Moynihan,June Shannon
3233,Vanessa Bayer,Alana Thompson
3234,Seth MacFarlane,Ryan Lochte
3224,Mick Jagger,Colin McKechnie
3225,Mick Jagger,Steven Tyler
2901,Fred Armisen,Carlos Santana
3226,Abby Elliott,Jewel
2681,Bill Hader,Dave Matthews
2642,Fred Armisen,Barack Obama
3217,Fred Armisen,Rupert Murdoch
3172,Taran Killam,Tim Tebow
3219,Jay Pharoah,Victor Cruz
3218,Andy Samberg,Troy Polamalu
3221,Kristen Wiig,Patricia Krentcil
3017,Abby Elliott,Khloé Kardashian
3223,Fred Armisen,Cheech Marin
3222,Bill Hader,Tommy Chong
3003,Jason Sudeikis,Robert Osborne
3093,Bobby Moynihan,Newt Gingrich
3103,Andy Samberg,Rick Santorum
2803,Kristen Wiig,Michele Bachmann
3213,Taran Killam,Kit Harington
2983,Abby Elliott,Ke$ha
3214,Andy Samberg,Weird Al Yankovic
3215,Kenan Thompson,Tay Zonday
3216,Josh Brolin,Ozzie Guillén
3045,Fred Armisen,Ice-T
3183,Andy Samberg,Andy Lewis
3202,Kenan Thompson,Alvin Parks Jr.
3198,Kristen Wiig,Ann Romney
3203,Sofia Vergara,Fran Drescher
3205,Fred Armisen,Joey Lawrence
3136,Abby Elliott,Zooey Deschanel
2971,Taran Killam,Michael Cera
3204,Andy Samberg,Mayim Bialik
2481,Kristen Wiig,Drew Barrymore
3206,Sofia Vergara,"Golnesa ""GG"" Gharachedaghi"
3210,Taran Killam,Andy Cohen
3207,Kate McKinnon,Tabatha Coffey
3209,Nasim Pedrad,"Mercedes ""MJ"" Javid"
3208,Kenan Thompson,Desmond Tutu
3200,Taran Killam,Rush Limbaugh
2993,Kristen Wiig,Paula Deen
3201,Kristen Wiig,Liza Minnelli
2835,Bill Hader,Shepard Smith
3197,Andy Samberg,Kid Rock
2875,Bobby Moynihan,"Nicole ""Snooki"" Polizzi"
3189,Maya Rudolph,Maya Angelou
3190,Bill Hader,Stephen King
3192,Kenan Thompson,Cornel West
3193,Justin Timberlake,Justin Vernon
2261,Fred Armisen,Prince
2765,Abby Elliott,Angelina Jolie
3195,Nasim Pedrad,Nicki Minaj
3164,Kristen Wiig,Taylor Swift
3196,Jay Pharoah,Geoffrey Canada
2707,Maya Rudolph,Michelle Obama
3184,Fred Armisen,SkyBlu
3165,Nasim Pedrad,M.I.A.
3185,Jason Sudeikis,Redfoo
2794,Kristen Wiig,Madonna
3188,Zooey Deschanel,Mary-Kate Olsen
2633,Kristen Wiig,Bjork
3176,Kristen Wiig,Callista Gingrich
3177,Channing Tatum,Matthew McConaughey
3178,Channing Tatum,Dan Patrick
2966,Bill Hader,Cris Collinsworth
3179,Jay Pharoah,Tony Dungy
2967,Jason Sudeikis,Al Michaels
3180,Kenan Thompson,Rodney Harrison
3181,Kristen Wiig,Lana Del Rey
3182,Channing Tatum,Tom Brady
2876,Bill Hader,"Mike ""The Situation"" Sorrentino"
2763,Jason Sudeikis,Ricky Gervais
3173,Charles Barkley,Shaquille O'Neal
2799,Bill Hader,Ernie Johnson Jr.
3175,Bobby Moynihan,Ron Jeremy
3159,Jimmy Fallon,Regis Philbin
3160,Nasim Pedrad,Hoda Kotb
3161,Jimmy Fallon,Justin Bieber
3162,Jimmy Fallon,Russell Brand
1842,Jimmy Fallon,Sting
3163,Fred Armisen,Thom Yorke
3166,Taran Killam,Scott McCreery
3167,Andy Samberg,Jimmy Fallon
3170,Jay Pharoah,Brian Dawkins
3169,Andy Samberg,Matt Prater
3171,Kenan Thompson,Chris Clark
2839,Kristen Wiig,Greta Van Susteren
3143,Katy Perry,Christina Aguilera
3146,Fred Armisen,Tony Sirico
3149,Paul Brittain,Osama bin Laden
3144,Abby Elliott,Kirsten Dunst
3145,Bobby Moynihan,Rico Rodriguez
3147,Jay Pharoah,Cuba Gooding Jr.
3148,Kristen Wiig,Kim Cattrall
3151,Vanessa Bayer,Amelia Earhart
3150,Nasim Pedrad,Marilyn Monroe
3152,Katy Perry,Florence Welch
2849,Fred Armisen,Randy Newman
3153,Andy Samberg,Chris Barron
3154,Jason Sudeikis,Meat Loaf
2905,Kristen Wiig,Gwen Stefani
3155,Katy Perry,Pippa Middleton
3156,Abby Elliott,Kate Middleton
3000,Bill Hader,Prince Philip
2999,Andy Samberg,Prince William
3157,Katy Perry,Kelly O'Donnell
3158,Taran Killam,Jim VandeHei
2079,Maya Rudolph,Whitney Houston
2730,Bill Hader,Keith Morrison
3135,Jason Segel,Antonio Banderas
3139,Fred Armisen,George Lopez
3140,Paul Brittain,Michael Gelman
3137,Bill Hader,Garrison Keillor
3138,Bobby Moynihan,Rosie O'Donnell
3142,Jason Segel,André the Giant
3133,Fred Armisen,John Harwood
3105,Paul Brittain,Ron Paul
3106,Taran Killam,Jon Huntsman
3134,Nasim Pedrad,Maria Bartiromo
2811,Fred Armisen,Muammer Kaddafi
3128,Jay Pharoah,Lamar Odom
3127,Andy Samberg,Kris Humphries
3129,Kristen Wiig,Kris Jenner
3131,Bill Hader,Dr. Mehmet Oz
3132,Adam Levine,Yanni
3118,Jason Sudeikis,Hank Williams Jr.
3120,Ben Stiller,Mandy Patinkin
3119,Hugh Jackman,Daniel Radcliffe
2821,Abby Elliott,Nancy Grace
3084,Andy Samberg,Hugh Jackman
3122,Ben Stiller,Eckhart Tolle
3123,Ben Stiller,Bruce Springsteen
3124,Fred Armisen,Steve Van Zandt
3125,Mike O'Brien,Max Weinberg
2970,Bobby Moynihan,"Jonah Hill , manager"
3116,Jay Pharoah,Chris Rock
2933,Kenan Thompson,Tyler Perry
3102,Alec Baldwin,Rick Perry
3107,Vanessa Bayer,Susan Lucci
3108,Alec Baldwin,Al Pacino
2325,Fred Armisen,Tony Danza
3110,Bill Hader,Harvey Fierstein
3114,Taran Killam,Bobcat Goldthwait
3115,Taran Killam,Tom Hanks
3111,Bobby Moynihan,Mindy Cohn
3113,Nasim Pedrad,Paula Abdul
3109,Andy Samberg,Crispin Glover
3099,Taran Killam,Dominique Strauss-Kahn
3100,Taran Killam,Chris Kirkpatrick
3101,Fred Armisen,Ben Bernanke
2741,Abby Elliott,Rachel Maddow
2798,Kenan Thompson,Roland S. Martin
2559,Kenan Thompson,Louis Armstrong
3097,Ed Helms,Roger Smith
3098,Kristen Wiig,Ann-Margret
2974,Kenan Thompson,Jimmy McMillan
3095,Abby Elliott,Rosie Pope
3096,Jay Pharoah,Lawrence Thompson
3077,Helen Mirren,Helena Bonham Carter
3046,Paul Brittain,James Franco
2956,Paul Brittain,Johnny Depp
3078,Bill Hader,Tim Burton
3079,Taran Killam,Ricky Martin
3083,Helen Mirren,Julie Andrews
3086,Taran Killam,Gerard Butler
3087,Helen Mirren,Eleanor Roosevelt
3089,Fred Armisen,Joel Surnow
2878,Abby Elliott,Marilyn Monroe
3088,Bill Hader,Franklin Roosevelt
3091,Taran Killam,Adolf Hitler
3090,Kenan Thompson,Theodore Roosevelt
3072,Tom Hanks,Michael Caine
3074,Fred Armisen,Ringo Starr
2908,Bill Hader,Richard Branson
3075,Taran Killam,Ian McKellen
3073,Andy Samberg,Bono
2776,Kenan Thompson,Sir Mix-A-Lot
3076,Nasim Pedrad,Vanessa Anne Hudgens
3054,Bill Hader,Charlie Sheen
3065,Nasim Pedrad,Tracy Wolfson
3062,Andy Samberg,Dick Vitale
2926,Jason Sudeikis,Jim Nantz
3064,Kristen Wiig,Melissa Leo
3070,Vanessa Bayer,Sara Gilbert
3066,Abby Elliott,Leah Remini
3067,Bill Hader,Steven Tyler
3069,Nasim Pedrad,Sharon Osbourne
2718,Kenan Thompson,Whoopi Goldberg
3068,Kristen Wiig,Julie Chen
3071,Kristen Wiig,Julie Taymor
3053,Miley Cyrus,Lindsay Lohan
2846,Abby Elliott,Christina Aguilera
3055,Taran Killam,John Galliano
3056,Miley Cyrus,Fergie
3058,Jay Pharoah,Will.i.am
3057,Andy Samberg,Taboo
3059,Kenan Thompson,apl.de.ap
3060,Kenan Thompson,Raven-Symoné
3061,Miley Cyrus,Justin Bieber
3049,Jason Sudeikis,Bill O'Reilly
3044,Fred Armisen,Hosni Mubarak
3052,Taran Killam,Rand Paul
2554,Kristen Wiig,Nancy Pelosi
943,Dana Carvey,Mickey Rooney
2827,Abby Elliott,Anna Faris
2978,Jay Pharoah,Eddie Murphy
831,Dana Carvey,Regis Philbin
3048,Taran Killam,Michael Gelman
2964,Andy Samberg,Mark Zuckerberg
3042,Bill Hader,"Don Herbert , Mr. Wizard"
3043,Jason Sudeikis,Mark McGrath
3028,Bobby Moynihan,Sean Hannity
3029,Nasim Pedrad,Michelle Malkin
2808,Jason Sudeikis,Glenn Beck
3030,Jason Sudeikis,Kenny Rogers
3031,Kristen Wiig,Dolly Parton
3032,Gwyneth Paltrow,Taylor Swift
3033,Abby Elliott,Katy Perry
3035,Nasim Pedrad,Alicia Keys
3036,Nasim Pedrad,Christina Aguilera
3037,Bill Hader,Cher
3038,Bobby Moynihan,Chaz Bono
3039,Kenan Thompson,Alfonso Ribeiro
3040,Jay Pharoah,Kevin Garnett
3041,Gwyneth Paltrow,Heidi Klum
2670,Bill Hader,Eliot Spitzer
2920,Nasim Pedrad,Christiane Amanpour
2708,Andy Samberg,Rahm Emanuel
3010,Bill Hader,Julian Assange
3018,Jeff Bridges,Nick Nolte
3019,Jeff Bridges,Duane Chapman
2486,Fred Armisen,Larry King
3020,Abby Elliott,Wynonna Judd
3021,Kenan Thompson,Jermaine Jackson
3022,Kristen Wiig,Naomi Judd
2784,Kenan Thompson,Michael Steele
3024,Abby Elliott,"Donna Reed , Mary Hatch"
2939,Bill Hader,Ben Mankiewicz
2855,Jason Sudeikis,"Jimmy Stewart , George Bailey"
3025,Abby Elliott,Maggie Gyllenhaal
2752,Andy Samberg,Billy Bob Thornton
2924,Jason Sudeikis,Sam Elliott
2885,Abby Elliott,Meryl Streep
3008,Robert DeNiro,Hamid Karzai
3014,Paul Brittain,Dax Holt
3011,Bobby Moynihan,Gary Trock
3013,Nasim Pedrad,Anna Kachikyan
3012,Jay Pharoah,Charles Latibeaudiere
3009,Andy Samberg,Max Hodges
2995,Kenan Thompson,Charles Rangel
2998,Anne Hathaway,Kate Middleton
3002,Jason Sudeikis,Chris Hunter
3004,Anne Hathaway,Alanis Morissette
3005,Andy Samberg,Robert Smith
2902,Jason Sudeikis,Adam Lambert
3007,Kristen Wiig,Dolores O'Riordan
2982,Bill Hader,Hu Jintao
2984,Kristen Wiig,Dina Lohan
2986,Jay Pharoah,Nick Cannon
2985,Andy Samberg,Mario Lopez
2987,Scarlett Johansson,Patti Stanger
2988,Abby Elliott,Rachel Federoff
2989,Bobby Moynihan,Destin Pfaff
2990,Scarlett Johansson,Rosario Dawson
2991,Taran Killam,Chris Pine
2556,Jason Sudeikis,George W. Bush
2975,Jon Hamm,John F. Kennedy
2505,Fred Armisen,Liberace
2458,Bill Hader,Vincent Price
2456,Kristen Wiig,Judy Garland
2976,Jon Hamm,Robin Williams
2977,Bobby Moynihan,Sam Kinison
2651,Kristen Wiig,Jennifer Tilly
2770,Abby Elliott,Joan Cusack
2980,Taran Killam,Gilbert Gottfried
2981,Taran Killam,Pee-Wee Herman
2969,Paul Brittain,Harry Reid
2972,Emma Stone,Lindsay Lohan
2717,Fred Armisen,Joy Behar
2843,Nasim Pedrad,Barbara Walters
2719,Kristen Wiig,Elisabeth Hasselbeck
2973,Jason Sudeikis,Brett Favre
2960,Nasim Pedrad,Gloria Allred
2623,Fred Armisen,Gene Simmons
2961,Bobby Moynihan,Verne Troyer
2962,Kenan Thompson,Magic Johnson
2940,Kristen Wiig,Christine O'Donnell
2672,Kristen Wiig,Suze Orman
2965,Jane Lynch,Faith Hill
2968,Jason Sudeikis,Patrick R. Cox
2954,Bobby Moynihan,Pete Rouse
2955,Bryan Cranston,Billy Ray Cyrus
2959,Paul Brittain,Vili Fualaau
2958,Abby Elliott,Mary Kay Letourneau
2941,Kenan Thompson,Lorne Michaels
2943,Abby Elliott,Laura Linney
2944,Nasim Pedrad,Edie Falco
2945,Andy Samberg,Stanley Tucci
2946,Kristen Wiig,Mary-Louise Parker
2528,Amy Poehler,Kim Jong Il
2948,Abby Elliott,Brooke Hogan
2622,Bill Hader,Steven Seagal
2949,Taran Killam,Steven Slater
2952,Andy Samberg,Brigitte Nielsen
2737,Jason Sudeikis,Rod Blagojevich
2953,Kenan Thompson,Tracy Chapman
2936,Fred Armisen,Steve Newman
2935,Bill Hader,Tony Hayward
2937,Jason Sudeikis,Tim Probert
2938,Abby Elliott,Sally Field
2922,Abby Elliott,K.D. Lang
2928,Ryan Phillippe,Robert Pattinson
2929,Abby Elliott,Shaun White
2203,Will Forte,John Edwards
2930,Bobby Moynihan,Susan Boyle
2932,Jenny Slate,Kristen Stewart
2934,Kristen Wiig,Kate Gosselin
2205,Kenan Thompson,Chaka Khan
2925,Bill Hader,Nick Faldo
2865,Kenan Thompson,Tiger Woods
2705,Jason Sudeikis,Todd Palin
2927,Tina Fey,Dina Lohan
2921,Bobby Moynihan,Eric Massa
2923,Bill Hader,Rod Serling
2889,Will Forte,Harry Reid
2915,Abby Elliott,Sara Haines
2852,Jenny Slate,Hoda Kotb
2916,Kenan Thompson,Mo'Nique
2917,Abby Elliott,Jessica McClure
2918,Bill Hader,Jack Cafferty
2919,Kristen Wiig,Gloria Borger
2898,Jennifer Lopez,Rihanna
2899,Abby Elliott,Melissa Etheridge
2907,Will Forte,Willie Nelson
2848,Bill Hader,Eddie Vedder
2756,Bobby Moynihan,David Crosby
2906,Nasim Pedrad,Shakira
2900,Andy Samberg,Josh Groban
2903,Jenny Slate,Lady Gaga
2904,Kenan Thompson,Quincy Jones
2460,Fred Armisen,Steve Jobs
2911,Nasim Pedrad,Mary-Kate Olsen
2910,Jenny Slate,Ashley Olsen
2909,Kristen Wiig,Martha Stewart
2914,Fred Armisen,Greg Camp
2912,Bill Hader,Michael Klooster
2913,Bobby Moynihan,Steve Harwell
2892,Will Forte,Oliver North
2891,Bill Hader,Robert Gibbs
2893,Ashton Kutcher,Mel Gibson
2894,Ashton Kutcher,Billy Bush
2896,Fred Armisen,Tom Sherak
2895,Abby Elliott,Anne Hathaway
2897,Nasim Pedrad,Maria Menounos
2887,Jon Hamm,Scott Brown
2696,Fred Armisen,Barney Frank
2678,Bill Hader,Robert Byrd
2888,Nasim Pedrad,Barbara Boxer
2890,Nasim Pedrad,Sonia Sotomayor
1321,Darrell Hammond,Jay Leno
2884,Will Forte,Carson Daly
2882,Bill Hader,Conan O'Brien
2883,Jason Sudeikis,David Letterman
2886,Jason Sudeikis,Jim Simpson
2879,Fred Armisen,Ali Abdullah Saleh
2677,Will Forte,David Petraeus
2880,Jason Sudeikis,Kevin Harlan
2881,Jason Sudeikis,Hank Haney
2874,Andy Samberg,John Stockton
2877,James Franco,James Dean
2493,Kristen Wiig,Katharine Hepburn
2700,Andy Samberg,Mark Wahlberg
2871,Bill Hader,John Ensign
2872,Jason Sudeikis,Mark Sanford
2873,Jason Sudeikis,Tim Finchem
2861,Bobby Moynihan,Tareq Salahi
2862,Kristen Wiig,Michaele Salahi
2863,Blake Lively,Elin Nordegren
2866,Abby Elliott,Brittany Murphy
2867,Bill Hader,Andy Azula
2868,Blake Lively,Cher
2870,Bill Hader,Chris Hansen
2869,Andy Samberg,Keanu Reeves
2857,Will Forte,Hu Jintao
2859,Joseph Gordon-Levitt,Jason Mraz
2858,Dave Matthews,Ozzy Osbourne
2448,Andy Samberg,Jack Johnson
2680,Kenan Thompson,Boyd Tinsley
2860,Bobby Moynihan,Jake Roberts
2853,January Jones,Grace Kelly
2854,Bobby Moynihan,Alfred Hitchcock
2567,Darrell Hammond,Lou Dobbs
2837,Fred Armisen,Joe Trippi
2840,Will Forte,Brit Hume
2838,Kenan Thompson,Juan Williams
2841,Taylor Swift,Kate Gosselin
