impid,aid,name
4021,Will Ferrell,Gordon Sondland
4022,Will Ferrell,Tom Steyer
4004,Woody Harrelson,Joe Biden
3837,Chris Redd,Cory Booker
4024,Melissa Villasenor,Rachel Maddow
4015,Jon Hamm,Bill Taylor
3968,Pete Davidson,Michael Avenatti
4020,Mikey Day,Jim Jordan
4019,Kyle Mooney,Gordon Sondland
4017,Cecily Strong,Marie Yovanovitch
4018,Kenan Thompson,Myles Garrett
3925,Melissa Villasenor,Alexandria Ocasio-Cortez
3755,Kate McKinnon,Jeff Sessions
4014,Fred Armisen,Recep Tayyip Erdogan
1292,Darrell Hammond,Bill Clinton
4013,Lin-Manuel Miranda,Julián Castro
3709,Alex Moffat,Anderson Cooper
4010,Matthew Broderick,Mike Pompeo
3979,Aidy Bryant,William Barr
4012,Mikey Day,Adam Schiff
4011,Alex Moffat,Sauli Niinistö
3884,Beck Bennett,Prince Charles
3788,Chris Redd,Kanye West
2389,Kenan Thompson,Don King
3981,Bowen Yang,Kim Jong-un
4008,Chloe Fineman,Marianne Williamson
4006,Alex Moffat,Beto O'Rourke
3725,Cecily Strong,Erin Burnett
3878,Robert DeNiro,Robert Mueller
3780,Aidy Bryant,Sarah Huckabee Sanders
3943,Kate McKinnon,Wilbur Ross
4001,Kenan Thompson,Clarence Thomas
4002,Paul Rudd,Pete Buttigieg
4003,Beck Bennett,Chasten Buttigieg
3889,Aidy Bryant,Meghan McCain
3867,Leslie Jones,Whoopi Goldberg
3992,Kate McKinnon,Joy Behar
3991,Cecily Strong,Abby Huntsman
3993,Melissa Villasenor,Ana Navarro
3948,Kyle Mooney,Chuck Todd
3996,Emma Thompson,Amanda Freitag
3999,Beck Bennett,Ted Allen
3997,Aidy Bryant,Alex Guarnaschelli
3998,Alex Moffat,Geoffrey Zakarian
4000,Emma Thompson,Maggie Smith
2289,Kenan Thompson,Steve Harvey
3575,Cecily Strong,Brooke Baldwin
3987,Michael Keaton,Julian Assange
3988,Kate McKinnon,Lori Loughlin
3989,Melissa Villasenor,Tekashi 6ix9ine
3990,Emma Stone,Jenny McCarthy
3803,Aidy Bryant,James Corden
3995,Pete Davidson,Ringo Starr
3834,Mikey Day,Prince Harry
3886,Kate McKinnon,Queen Elizabeth
3833,Alex Moffat,Prince William
3994,Chris Redd,21 Savage
3885,Cecily Strong,Kate Middleton
2634,Kenan Thompson,Charles Barkley
3985,Kit Harington,Winston Churchill
3820,Kate McKinnon,Theresa May
3986,Alex Moffat,Jeremy Corbyn
3972,Chris Redd,Jussie Smollett
3980,Kenan Thompson,Lee Daniels
3696,Beck Bennett,Vladimir Putin
3982,Aidy Bryant,Anne McClain
3983,Beck Bennett,Nick Hague
3984,Melissa Villasenor,Christina Koch
3977,Leslie Jones,Gayle King
3975,Chris Redd,Darrell Johnson
3976,Kenan Thompson,R. Kelly
3978,Leslie Jones,Tamika Williams
3877,Ben Stiller,Michael Cohen
3963,Bill Hader,Jim Jordan
3965,Heidi Gardner,Jackie Speier
3621,Kate McKinnon,Debbie Wasserman Schultz
3964,Alex Moffat,Mark Meadows
3966,Kyle Mooney,Paul Gosar
