sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
16,11,1,3,0,0,1,6,5,14,2,1,4,7.0,14,6.2,8,7.3,0,,6.0,0,,4,4.8,2,9.5,0,,6.1,0,,33,6.6,19.0,3,7.0,10,6.7,6,6.6,0,,6.8,7,5.9,13,6.1,17,7.0
16,13,3,2,0,2,1,5,5,4,0,4,5,4.9,9,5.7,8,6.3,0,,4.0,0,,2,3.0,2,9.5,0,,6.2,0,,26,5.8,17.0,4,3.8,7,6.5,6,5.1,0,,5.6,5,6.6,11,5.9,14,5.2
16,10,1,3,0,2,0,6,3,5,5,2,4,8.2,10,6.3,8,6.7,0,,5.0,0,,3,4.7,2,9.5,0,,6.1,0,,27,6.6,17.0,4,8.2,7,6.9,6,6.1,0,,7.0,4,6.2,16,6.2,16,7.0
16,9,1,1,0,0,3,9,3,3,5,1,4,7.0,8,5.0,8,6.9,0,,4.0,0,,2,3.0,2,9.0,0,,6.0,0,,26,6.0,15.0,3,7.7,6,5.5,6,6.3,0,,6.3,5,5.0,13,5.3,13,6.5
16,6,2,5,0,0,1,3,3,5,2,1,2,9.5,8,6.1,8,6.6,0,,4.0,0,,2,3.0,2,9.0,0,,6.0,0,,22,6.8,14.0,2,9.5,6,7.0,6,5.8,0,,7.0,4,5.8,12,6.5,12,7.0
16,8,2,2,0,0,0,4,7,9,7,6,8,7.4,14,6.7,10,7.3,0,,8.0,1,8.0,2,3.0,5,7.6,0,,6.0,0,,37,6.9,23.0,6,6.9,12,7.1,5,7.2,0,,7.2,9,5.9,13,6.9,21,7.4
16,7,4,7,0,0,0,6,2,7,6,5,7,8.3,15,6.9,10,7.3,0,,5.0,1,10.0,2,3.0,2,9.0,0,,6.1,0,,37,7.0,26.0,5,8.4,13,7.5,8,6.5,0,,7.5,9,6.7,13,6.7,20,7.4
16,3,1,2,1,0,0,4,8,7,2,2,5,7.1,9,6.0,8,6.9,0,,4.0,0,,2,3.0,2,9.0,0,,6.0,0,,27,6.4,17.0,4,7.5,7,6.5,6,6.3,0,,6.8,4,6.2,13,6.3,14,6.6
16,4,3,17,0,0,0,5,0,9,18,3,11,8.6,20,7.2,14,8.5,0,,9.0,0,,4,5.2,4,9.5,0,,7.2,0,,55,7.9,34.0,9,8.5,15,7.8,10,8.1,0,,8.1,10,7.4,15,6.9,26,7.9
16,5,1,3,0,0,0,6,5,8,1,0,5,6.7,9,5.8,6,7.3,0,,7.0,1,10.0,3,4.0,3,8.3,0,,6.2,0,,24,6.5,12.0,3,6.7,6,6.6,3,6.3,0,,6.5,6,6.0,12,6.3,11,6.6
