,index,sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
222,1310,41,15,7,60,1,2,4,3,13,35,45,43,64,8.4,56,7.8,30,7.8,4,9.2,33.0,14,8.4,9,7.4,5,7.9,0,,7.9,0,,213,8.1,129.0,47,8.3,46,7.8,25,7.7,4,9.2,8.0,52,8.0,26,7.5,72,7.8
223,1311,41,14,12,13,2,10,11,27,28,21,11,2,41,6.2,39,5.6,24,6.6,1,5.0,20.0,6,6.6,6,5.9,4,6.2,0,,6.1,0,,137,5.7,89.0,33,6.0,32,5.5,19,6.4,1,5.0,5.8,34,6.0,21,5.4,54,5.9
224,1312,41,13,13,21,5,2,3,13,29,47,16,5,44,7.3,52,6.0,30,6.3,2,8.0,28.0,8,7.9,10,7.0,7,8.1,0,,7.4,0,,154,6.6,104.0,34,7.1,41,5.9,22,6.0,2,8.0,6.4,43,6.8,23,6.8,66,6.3
225,1313,41,10,6,48,3,3,5,6,21,33,51,18,72,7.7,47,7.3,27,7.5,3,9.7,40.0,20,8.1,12,7.3,3,8.3,1,10.0,7.9,0,,194,7.6,115.0,50,7.6,34,7.2,24,7.3,2,9.5,7.4,58,7.4,26,7.2,68,7.6
226,1314,41,9,9,71,6,3,2,3,14,25,51,44,69,8.3,61,7.6,35,7.8,4,10.0,45.0,20,8.7,13,8.5,7,8.8,0,,8.7,0,,228,8.1,131.0,46,8.1,47,7.2,28,7.5,4,10.0,7.7,58,7.8,31,7.6,88,7.9
227,1315,41,3,4,40,5,2,2,11,20,32,51,19,54,7.9,59,7.6,28,7.4,3,8.7,34.0,7,7.3,17,8.3,5,8.9,0,,8.1,0,,186,7.7,120.0,45,8.0,41,7.4,23,7.0,3,8.7,7.6,52,7.7,27,7.6,68,7.7
228,1316,41,6,6,34,2,3,4,11,24,39,36,17,59,7.9,49,7.2,25,7.0,2,10.0,26.0,7,7.2,12,7.5,3,8.3,0,,7.5,0,,176,7.5,114.0,50,8.0,36,7.1,22,6.8,2,10.0,7.5,51,7.9,27,7.2,58,7.1
229,1318,41,5,9,18,1,0,2,8,21,46,29,14,46,7.6,46,7.0,23,6.8,3,8.3,27.0,9,7.7,12,7.3,3,7.7,0,,7.4,0,,148,7.2,96.0,35,7.5,33,6.9,20,6.7,3,8.3,7.1,44,7.2,25,7.0,55,7.2
230,1319,41,8,3,15,3,5,5,17,31,32,17,5,47,6.4,38,6.4,21,7.2,2,7.5,25.0,7,7.1,12,6.7,3,7.7,0,,6.7,0,,133,6.6,86.0,38,6.2,25,6.4,17,7.0,2,7.5,6.4,38,6.5,25,6.8,51,6.4
231,1320,41,4,214,65,30,17,16,27,31,23,12,5,150,3.3,109,4.1,55,3.6,10,3.3,64.0,32,3.1,19,3.2,5,3.1,3,1.0,3.1,0,,440,3.7,280.0,116,3.3,89,4.3,50,3.6,7,4.1,3.8,103,3.9,32,4.8,166,3.7
