aid,name,isCast
Charlie Lowe,Charlie Lowe,0
Wendell Craig,Wendell Craig,0
Lily Tomlin,Lily Tomlin,0
Bill Bradley,Bill Bradley,0
Rob Reiner,Rob Reiner,0
Penny Marshall,Penny Marshall,0
Buster Holmes,Buster Holmes,0
The Kinks,The Kinks,0
Leo Sayer,Leo Sayer,0
Fran Tarkenton,Fran Tarkenton,0
Donny Harper & The Voices Of Tomorrow,Donny Harper & The Voices Of Tomorrow,0
DoGr,Don Grolnick,0
Richard Baskin,Richard Baskin,0
Sissy Spacek,Sissy Spacek,0
The Meters,The Meters,0
Dr. John,Dr. John,0
Levon Helm,Levon Helm,0
Paul Butterfield,Paul Butterfield,0
Broderick Crawford,Broderick Crawford,0
Jack Burns,Jack Burns,0
Linda Ronstadt,Linda Ronstadt,0
Santana,Santana,0
Julian Bond,Julian Bond,0
Patti Smith,Patti Smith,0
Brick,Brick,0
Tom Waits,Tom Waits,0
Roslyn Kind,Roslyn Kind,0
The McGarrigle Sisters,The McGarrigle Sisters,0
ElRa,Elliott Randall,0
Eric Idle,Eric Idle,0
Alan Price,Alan Price,0
DaLa,David Lasley,0
Neil Innes,Neil Innes,0
GaWe,Gary Weis,0
FrLe,Franne Lee,0
Shelley Duvall,Shelley Duvall,0
Joan Armatrading,Joan Armatrading,0
Spalding Gray,Spalding Gray,0
George Carlin,George Carlin,0
Janis Ian,Janis Ian,0
Billy Preston,Billy Preston,0
Valri Bromfield,Valri Bromfield,0
Paul Simon,Paul Simon,0
David Sanborn,David Sanborn,0
Jesse Dixon Singers,Jesse Dixon Singers,0
Randy Newman,Randy Newman,0
Connie Hawkins,Connie Hawkins,0
Kenny Vance,Kenny Vance,0
Bella Abzug,Bella Abzug,0
Jennifer Warnes,Jennifer Warnes,0
Denny Dillon,Denny Dillon,0
Mark Hampton,Mark Hampton,0
The Lockers,The Lockers,0
Esther Phillips,Esther Phillips,0
Kay Lenz,Kay Lenz,0
Rene Auberjonois,Rene Auberjonois,0
Robert Klein,Robert Klein,0
Loudon Wainwright III,Loudon Wainwright III,0
Abba,Abba,0
Gil Scott-Heron,Gil Scott-Heron,0
Shelley Pryor,Shelley Pryor,0
Richard Pryor,Richard Pryor,0
HaSh,Harry Shearer,1
Thalmus Rasulala,Thalmus Rasulala,0
Annazette Chase,Annazette Chase,0
Kathrine McKee,Kathrine McKee,0
Brian Wilson,Brian Wilson,0
James Taylor,James Taylor,0
Karen Black,Karen Black,0
Sally Kellerman,Sally Kellerman,0
Jim Fowler,Jim Fowler,0
PaWe,Patrick Weathers,1
"Joe ""King"" Carrasco & The Crowns","Joe ""King"" Carrasco & The Crowns",0
Robert Hays,Robert Hays,0
14 Karat Soul,14 Karat Soul,0
Harry Osborne,Harry Osborne,0
Michael Nesmith,Michael Nesmith,0
AlCa,Al Camoin,0
BaBl,Barry W. Blaustein,0
DaSh,David Sheffield,0
Marc Weiner,Marc Weiner,0
TeSw,Terry Sweeney,1
Deborah Harry,Deborah Harry,0
Funky 4 + 1 More,Funky 4 + 1 More,0
Chris Stein,Chris Stein,0
Clem Burke,Clem Burke,0
Janice Pendarvis,Janice Pendarvis,0
MaMi,Marcus Miller,0
GeWa,Georg Wadenius,0
LePe,Leon Pendarvis,0
BuWi,Buddy Williams,0
Prince,Prince,0
Charlene Tilton,Charlene Tilton,0
Todd Rundgren,Todd Rundgren,0
The Section,The Section,0
Norman Lear,Norman Lear,0
Kate Lear,Kate Lear,0
Boz Scaggs,Boz Scaggs,0
WiLe,Will Lee,0
Bea Arthur,Bea Arthur,0
Bernadette Peters,Bernadette Peters,0
Caroll O'Connor,Caroll O'Connor,0
Isabel Sanford,Isabel Sanford,0
Jean Stapleton,Jean Stapleton,0
Nancy Walker,Nancy Walker,0
Richard Crenna,Richard Crenna,0
Sherman Helmsley,Sherman Helmsley,0
Stuff,Stuff,0
Garry Trudeau,Garry Trudeau,0
Joe Cocker,Joe Cocker,0
John Prine,John Prine,0
George Schultz,George Schultz,0
Kinky Friedman,Kinky Friedman,0
The Band,The Band,0
BuMc,Bruce McCall,0
Frank Zappa,Frank Zappa,0
Diana Nyad,Diana Nyad,0
