sid,eid,tid,title,titleType
14,13,198902183,Neuburg's Bleu Cheese Cooler,Commercial
14,13,198902181,Iran's Most Wanted,Cold Opening
14,14,1989022512,"""Djobi Djoba""",Musical Performance
14,13,198902182,,Monologue
14,14,1989022510,Master Thespian,Sketch
14,14,198902259,Circle Mad Dog Food,Commercial
14,14,1989022511,Levels,Musical Sketch
14,14,198902256,"""Bamboleo""",Musical Performance
14,14,198902252,,Monologue
14,14,198902257,,Weekend Update
14,14,198902255,Pumping Up With Hans & Franz,Show
14,14,198902254,Group Therapy,Sketch
14,14,198902253,Big Red,Commercial
14,14,198902251,Barnes & Noble,Cold Opening
14,15,1989032512,Schiller's Reel,Film
14,15,1989032511,Requiem For Death,Sketch
14,15,198903258,Robot Repair,Show
14,15,1989032510,"""Let Him Dangle""",Musical Performance
14,15,198903255,"""Veronica""",Musical Performance
14,15,198903259,Lady Rhemington,Commercial
14,15,198903257,Sweeney Sisters,Sketch
14,15,198903256,,Weekend Update
14,15,198903254,Customs,Sketch
14,15,198903252,,Monologue
14,15,198903251,The 61st Annual Academy Awards,Cold Opening
14,16,198904016,Josh Acid,Sketch
14,16,198904017,"""Cult Of Personality""",Musical Performance
14,16,198904013,Tales of Ribaldry,Show
14,16,198904015,Cooking with The Anal Retentive Chef,Show
14,16,198904014,Exxon School Of Supertanker Steering,Commercial
14,16,198904012,,Monologue
14,16,198904011,Rain Man,Cold Opening
14,6,1988111911,Thanksgiving,Sketch
14,6,1988111912,Skeleton,Sketch
14,6,198811199,The Alamo,Sketch
14,6,1988111910,"""Freedom Now"", ""Baby, Can I Hold You""",Musical Performance
14,6,198811198,,Weekend Update
14,6,1988111913,,Goodnights
14,7,1988120314,,Goodnights
14,5,1988111214,Businessman's Chatter Line,Commercial
14,5,1988111211,Poker Game,Sketch
14,5,1988111215,,Goodnights
14,5,1988111213,"""Take My Heart Away""",Musical Performance
14,5,1988111212,Travel Agents,Sketch
14,2,1988101515,,Goodnights
14,4,1988110513,,Goodnights
14,3,1988102217,,Goodnights
14,3,1988102216,Gay Communist Gun Club,Show
14,3,1988102213,"""Dixie Flyer""",Musical Performance
14,3,1988102212,Sex Life,Sketch
14,3,1988102215,Bush,Commercial
14,3,1988102211,,Weekend Update
14,3,1988102210,"""It's Money That Matters""",Musical Performance
14,1,1988100814,,Goodnights
